Upper tier local authorities Code,Upper tier local authorities,Age (86 categories) Code,Age (86 categories),Ethnic group (8 categories) Code,Ethnic group (8 categories),Sex (2 categories) Code,Sex (2 categories),Observation
E09000001,City of London,16,Aged 16 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,1
E09000001,City of London,16,Aged 16 years,7,Other ethnic group,1,Female,3
E09000001,City of London,16,Aged 16 years,7,Other ethnic group,2,Male,1
E09000001,City of London,17,Aged 17 years,-8,Does not apply,1,Female,0
E09000001,City of London,17,Aged 17 years,-8,Does not apply,2,Male,0
E09000001,City of London,17,Aged 17 years,1,"Asian, Asian British or Asian Welsh",1,Female,0
E09000001,City of London,17,Aged 17 years,1,"Asian, Asian British or Asian Welsh",2,Male,4
E09000001,City of London,17,Aged 17 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,5
E09000001,City of London,17,Aged 17 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,2
E09000001,City of London,17,Aged 17 years,3,Mixed or Multiple ethnic groups,1,Female,0
E09000001,City of London,17,Aged 17 years,3,Mixed or Multiple ethnic groups,2,Male,2
E09000001,City of London,17,Aged 17 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,7
E09000001,City of London,17,Aged 17 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,4
E09000001,City of London,17,Aged 17 years,5,White: Irish,1,Female,0
E09000001,City of London,17,Aged 17 years,5,White: Irish,2,Male,0
E09000001,City of London,17,Aged 17 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,4
E09000001,City of London,17,Aged 17 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,2
E09000001,City of London,17,Aged 17 years,7,Other ethnic group,1,Female,5
E09000001,City of London,17,Aged 17 years,7,Other ethnic group,2,Male,0
E09000001,City of London,18,Aged 18 years,-8,Does not apply,1,Female,0
E09000001,City of London,18,Aged 18 years,-8,Does not apply,2,Male,0
E09000001,City of London,18,Aged 18 years,1,"Asian, Asian British or Asian Welsh",1,Female,4
E09000001,City of London,18,Aged 18 years,1,"Asian, Asian British or Asian Welsh",2,Male,11
E09000001,City of London,18,Aged 18 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Female,3
E09000001,City of London,18,Aged 18 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Male,1
E09000001,City of London,18,Aged 18 years,3,Mixed or Multiple ethnic groups,1,Female,1
E09000001,City of London,18,Aged 18 years,3,Mixed or Multiple ethnic groups,2,Male,4
E09000001,City of London,18,Aged 18 years,4,"White: English, Welsh, Scottish, Northern Irish or British",1,Female,7
E09000001,City of London,18,Aged 18 years,4,"White: English, Welsh, Scottish, Northern Irish or British",2,Male,5
E09000001,City of London,18,Aged 18 years,5,White: Irish,1,Female,0
E09000001,City of London,18,Aged 18 years,5,White: Irish,2,Male,1
E09000001,City of London,18,Aged 18 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",1,Female,12
E09000001,City of London,18,Aged 18 years,6,"White: Gypsy or Irish Traveller, Roma or Other White",2,Male,5
E09000001,City of London,18,Aged 18 years,7,Other ethnic group,1,Female,2
E09000001,City of London,18,Aged 18 years,7,Other ethnic group,2,Male,2
E09000001,City of London,19,Aged 19 years,-8,Does not apply,1,Female,0
E09000001,City of London,19,Aged 19 years,-8,Does not apply,2,Male,0
E09000001,City of London,19,Aged 19 years,1,"Asian, Asian British or Asian Welsh",1,Female,2
E09000001,City of London,19,Aged 19 years,1,"Asian, Asian British or Asian Welsh",2,Male,4
